experiment,data,datasize,augment,rand,schedule,optim,lr,chckpnt,wdecay,model,dropout,encoder,enc_zy_nhid,enc_zy_nlay,enc_zy_kpru,enc_zx_nhid,enc_zx_nlay,enc_zx_kpru,beta,nskip,zdim,minimax,mchead,gamma,clfs,run,clf_nhid,clf_nlay,clf_kpru,epochs,test_accuracy_toagg,test_loglike_toagg,train_accuracy_toagg,train_loglike_toagg,train_sharp_mag_toagg,train_var_grad_toagg,train_path_norm_toagg,train_y_pred_ent_toagg
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4004,-6.832617345851017,0.9969555555555556,-0.010233811828874593,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3884,-6.7846206553959725,0.9971111111111112,-0.010349228302285685,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.3872,-7.020938332229573,0.9968888888888888,-0.01066112925185792,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4059,-5.511921255547179,0.9961555555555556,-0.01696865570955854,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,2,128,1,0,best,0.3907,-5.237685329170168,0.9958444444444444,-0.01819751722306741,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4106,-4.882494971653423,0.9970666666666668,-0.016508579330040903,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3957,-3.018567495166817,0.9982444444444444,-0.041832382561683416,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4017,-2.991044514976928,0.9974222222222222,-0.048439983570088975,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4034,-3.1839491764251626,0.9977111111111112,-0.040906341267355366,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4017,-3.9378461691354327,0.9974666666666666,-0.022605650988642603,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.3992,-3.854643816416276,0.9983777777777778,-0.0196039377962537,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4007,-4.028186095808014,0.9974444444444444,-0.02141247458068849,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3736,-2.1034858705239383,0.5280666666666667,-1.2469287699561225,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.373,-2.141734948406466,0.5647111111111112,-1.117733161055829,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.3718,-1.9894047253345608,0.501,-1.319387160376127,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3845,-6.304881259421803,0.9967555555555556,-0.011869491685708174,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.3829,-6.356617103283449,0.9970222222222224,-0.01238294184186222,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.2829,-1.9196227476269008,0.34175555555555553,-1.797006059333351,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.2781,-1.9164670641452075,0.3383555555555556,-1.8002128819737169,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.3922,-2.9193714672720588,1.0,-0.028791371699446962,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.3996,-2.8546801480306523,1.0,-0.02945035708216685,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.3851,-3.044923567387809,1.0,-0.029091179571969345,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4176,-3.4114162906503176,1.0,-0.010577312723224146,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4082,-3.5250713111067005,1.0,-0.01115950158911668,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4202,-4.261467394074795,1.0,-0.009716772985045478,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4144,-4.261401154980232,0.9999777777777776,-0.00954160675020355,,,,
QminimalityDataset,cifar10mnist,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4092,-4.3870804841968285,0.9999555555555556,-0.010609654267912902,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.1701,-3.6798230375029153,0.4542444444444445,-2.4482518201457752,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.17,-3.6724053575078015,0.5022666666666666,-2.2654181588061206,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.171,-3.6842271833404903,0.4871333333333333,-2.301802233672608,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.18,-4.070436795391459,0.7549333333333333,-1.141329418325994,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.1846,-4.156852046137852,0.7652444444444444,-1.0786733051453192,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.1861,-4.218315595819687,0.7851333333333333,-1.0076003612390452,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.1844,-5.172645717016242,0.7531777777777777,-0.8978761948069974,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.1838,-4.997054525083471,0.7366444444444444,-0.9557830797767805,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.1847,-4.952399425646165,0.7379111111111111,-0.9601618799002992,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,0,128,1,0,best,0.1858,-4.5846628862295535,0.7717111111111111,-0.9085043485673032,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,1,128,1,0,best,0.1938,-4.551991534572896,0.7729777777777778,-0.9071508467492329,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,2,128,1,0,best,0.1943,-4.628655869430936,0.7869555555555555,-0.8578778761019152,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.0295,-4.315799219560623,0.032822222222222225,-4.300992834443516,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.0393,-4.274773095607758,0.04293333333333333,-4.260547285130289,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.0355,-4.310120788872242,0.03693333333333333,-4.30053579223156,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.1986,-4.541857266937545,0.9778,-0.3496203498951944,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.1969,-4.685015642602336,0.9799333333333332,-0.33459125596561484,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.2002,-4.527380954226818,0.9791111111111112,-0.3578621905460091,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,0,128,1,0,best,0.1964,-4.81984077480901,0.9395777777777776,-0.406721814305149,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,1,128,1,0,best,0.19699999999999998,-4.935898364727334,0.9470666666666666,-0.37855759110674936,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,2,128,1,0,best,0.2005,-4.8330653273804325,0.9506666666666668,-0.3748372299402906,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.1829,-3.746914608352864,0.6266222222222222,-1.7489452402813308,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.1871,-3.767840503109433,0.6256888888888889,-1.7535459942124267,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.1859,-3.8109452301739246,0.6553555555555556,-1.6374370584338076,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.1852,-4.874783314290961,0.7150444444444445,-1.0472706095870452,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.1821,-5.041396322687832,0.7343333333333333,-0.9805962223413018,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.1857,-4.96045763639722,0.7324444444444445,-0.9835795381255252,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.0133,-4.6250397551059725,0.013933333333333334,-4.603528645531337,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.0139,-4.608010011887551,0.015955555555555556,-4.5930264655696025,,,,
QminimalityDataset,cifar100,all,False,False,decay,adam,5e-05,last,0,vib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.0155,-4.620619375920295,0.014711111111111109,-4.59959616039594,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4434,-1.7135273503819155,0.5631777777777778,-1.1921093127640523,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4417,-1.6362145152192098,0.5242666666666667,-1.2667477667419085,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,100.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4393,-1.8133798689579876,0.6009111111111111,-1.058002376099304,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4806,-4.137579019447358,0.9978222222222224,-0.013343828192452008,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4784,-4.270525754442389,0.9975333333333334,-0.013972194649582574,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.1,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4778,-4.217464879939668,0.9970222222222224,-0.0137128883389597,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4763,-3.191806632890449,0.9984444444444444,-0.01862576300163444,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4783,-3.2244072462482984,0.9985555555555556,-0.0190935505700111,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,1.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4755,-3.2547597581323364,0.9976888888888888,-0.021418998275401925,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4798,-2.424912840302289,0.9973111111111111,-0.05027441121168133,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4809,-2.4940084186615814,0.9973555555555556,-0.04879612451529381,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,10.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4778,-2.4461132745271588,0.9972888888888888,-0.051040722208163185,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,1,128,1,0,best,0.4745,-5.5173163542383925,0.9973777777777778,-0.009381005130973345,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,0,128,1,0,best,0.4634,-5.4759118131694935,0.9974222222222222,-0.01033209087949673,,,,
QminimalityDataset,cifar10,all,False,False,decay,adam,5e-05,last,0,cdib,0,mlpl,128,1,0,128,1,0,0.0,0,1024,5,3,-0.1,default,2,128,1,0,best,0.4705,-5.591167948381826,0.9968666666666668,-0.010562049584455757,,,,
